xmin,ymin,xmax,ymax,Object
155,10,215,29,NIKE
226,10,335,29,SUNTEC
346,10,407,29,CITY
184,80,266,99,Suntec
276,80,321,104,City
331,80,376,99,Mall
145,114,158,133,3
167,114,278,133,Temasek
287,114,405,133,Boulevard
76,149,279,168,#01-375/376/377
289,149,371,168,Suntec
381,149,426,173,City
436,149,481,168,Mall
74,184,194,208,Singapore
203,184,291,203,038983
302,200,304,207,","
315,184,357,203,Tel:
368,184,482,203,68370871
104,219,156,238,GST
167,219,220,243,Reg.
232,219,270,238,No.
283,224,285,238,:
296,219,448,238,201113811N
5,323,107,342,26-07-21
134,323,231,342,5:49PM
6,358,161,377,CATHERINE
172,358,219,377,LEE
237,358,312,377,S0015
329,358,404,377,P0016
6,393,61,417,Rept
70,393,108,412,No:
131,393,260,412,000061321
34,461,130,480,Member
142,461,172,480,ID:
195,461,343,480,6587808794
188,532,207,540,**
218,532,335,551,REPRINT
345,532,364,540,**
6,601,155,620,DA0484-013
174,601,192,620,M
4,636,38,655,AS
47,636,72,655,W
81,636,115,655,NP
125,636,168,655,365
177,636,257,655,TIGHT
267,636,303,655,7/8
313,636,336,655,HI
348,636,408,655,RISE
35,671,42,690,1
56,676,111,695,pces
119,671,137,690,X
145,671,211,690,65.00
446,671,512,690,65.00
34,704,169,723,DBS/POSB
183,704,232,723,10%
246,704,285,723,min
297,702,355,725,$150
49,740,109,759,ITEM
120,740,260,759,DISCOUNT
272,740,321,759,10%
452,740,512,759,-6.50
6,775,157,794,DD1354-010
174,775,192,794,M
4,810,38,829,AS
47,810,72,829,W
81,810,117,829,NK
126,810,159,829,DF
171,810,234,829,INDY
243,810,317,829,LOGO
328,810,381,829,CUT
392,810,446,829,BRA
35,845,42,864,1
56,850,111,869,pces
119,845,137,864,X
145,845,211,864,55.00
446,845,512,864,55.00
34,878,169,897,DBS/POSB
183,878,232,897,10%
246,878,285,897,min
297,876,355,899,$150
49,914,109,933,ITEM
120,914,260,933,DISCOUNT
272,914,321,933,10%
452,914,512,933,-5.50
6,949,157,968,DD4729-010
174,949,192,968,M
4,984,38,1003,AS
49,984,67,1003,M
78,984,139,1003,NSW
148,984,198,1003,SPE
207,984,268,1003,WVN
279,984,311,1003,UL
321,984,417,1003,CARGO
428,984,503,1003,SHOR
35,1019,42,1038,1
56,1024,111,1043,pces
119,1019,137,1038,X
145,1019,211,1038,79.00
446,1019,512,1038,79.00
34,1052,169,1071,DBS/POSB
183,1052,232,1071,10%
246,1052,285,1071,min
297,1050,355,1073,$150
49,1088,109,1107,ITEM
120,1088,260,1107,DISCOUNT
272,1088,321,1107,10%
452,1088,512,1107,-7.90
6,1153,102,1187,Subtotal
433,1158,512,1177,167.38
6,1192,58,1211,GST
68,1192,111,1211,7%
448,1192,512,1211,11.72
5,1262,63,1281,Total
74,1262,129,1281,SGD
433,1262,512,1281,179.10
6,1332,133,1351,PAYMENT
144,1332,183,1351,BY:
6,1366,106,1390,PayNow
422,1366,512,1385,-179.10
6,1436,114,1455,SERVED
125,1436,164,1455,BY:
298,1436,453,1455,CATHERINE
464,1436,511,1455,LEE
6,1505,100,1524,Number
108,1505,131,1524,of
140,1505,209,1524,Items:
499,1505,512,1524,3
61,1575,213,1594,Merchandise
223,1575,240,1594,is
250,1575,418,1599,Exchangeable
428,1575,500,1594,ONLY
56,1610,115,1629,From
126,1610,188,1629,Store
197,1610,220,1629,of
228,1610,340,1629,Purchase
348,1610,416,1629,within
426,1610,439,1629,7
448,1610,504,1634,days
106,1645,158,1664,With
167,1645,343,1669,Accompanying
354,1645,450,1669,Receipt.
65,1714,128,1733,Items
138,1714,195,1733,Must
204,1714,234,1733,Be
245,1714,263,1733,In
274,1714,367,1733,Sellable
377,1714,488,1733,Condition
104,1749,150,1768,And
159,1749,211,1768,With
222,1749,311,1773,Original
322,1749,452,1773,Packaging.
160,1818,240,1842,Strictly
250,1818,282,1837,No
292,1818,397,1837,Refunds.
194,1888,259,1907,Sales
270,1888,318,1907,Item
328,1893,365,1907,are
90,1923,136,1942,Non
147,1923,468,1947,Exchangeable/Refundable.
98,1992,140,2011,Get
148,1992,184,2011,the
194,1992,258,2011,latest
267,1992,361,2016,updates
370,1997,397,2011,on
408,1997,456,2011,new
106,2027,192,2046,arrivals
201,2027,243,2046,and
253,2027,335,2051,special
345,2029,424,2046,events
433,2029,455,2046,at
149,2062,403,2081,facebook.com/sutllife
100,2131,141,2150,Tell
152,2136,178,2150,us
187,2131,254,2150,about
262,2136,314,2155,your
322,2131,452,2155,experience
109,2168,131,2185,at
150,2162,203,2194,www.
208,2166,450,2190,mynikevisit-sgp.com
0,2236,14,2244,*
24,2236,116,2255,THANK
123,2236,180,2255,YOU
191,2236,245,2255,FOR
256,2236,396,2255,SHOPPING
405,2236,473,2255,WITH
484,2236,525,2255,US!
536,2236,566,2244,***
